No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
3231,Sr4_Ca4_Ce4_Sn4_O24,Sr4Ca4Ce4Sn4O24.vasp,NOT,test,Sr4,8.0,Sr,4.0,Ca4,Ca,4.0,,2.213,-280.865658,-297.353658,-7.43384145,0.0,0.158961535,0.158961535,0.311747714,2.212441241987704,1.1013227448139136,1.1011186880527228,0.7988576349820594,0.7993841149972319,0.6838728524501254,0.6839265474356734,1.0359319447259057,1.0375473293468689,0.1589736211423403,0.3118769791473891,0.1589850424883589,2.2130444131947606
3999,La8_Mg4_Co4_O24,La8Mg4Co4O24.vasp,NOT,test,La8,8.0,La,8.0,,,0.0,,1.483,-286.960884,-310.000884,-7.7500221,4.0,0.590420945,0.066363112,0.171592928,1.4831813024274316,0.4744055032677622,0.474298095,0.4007875185570534,0.3997763894372485,0.5937864356388597,0.5937912352700683,0.6120479097493897,0.611627268,0.066423789,0.171546468,0.590369216,1.482892838
3645,Y8_Ti7_Co1_O24,Y8Ti7Co1O24.vasp,NOT,test,Y8,8.0,Y,8.0,,,0.0,,0.007,-356.508327,-374.634327,-9.365858175,-3.2223,0.445658333,0.769747991,0.769747991,0.006698357,-0.793169632,-0.793331703,-4.074541935,-4.073389716,0.006950975,0.006993269,-1.23371774,-1.23352326,0.7697229086100794,0.7698393996369148,0.4457541020021613,0.007003749
1295,Hf2_La6_Mn6_Zr2_O24,Hf2La6Mn6Zr2O24.vasp,NOT,test,Hf2,8.0,Hf,2.0,La6,La,6.0,,2.16,-339.243297,-365.739297,-9.143482425,-2.0,0.655858571,1.023858571,1.023858571,2.1600461817388394,1.0558068354961794,1.055761786024332,0.7747271675523681,0.7752027703722686,0.6787433575834135,0.6787557933858085,0.9835755308551692,0.9832362523880694,1.023795835798868,1.0244959960422997,0.6558578901081139,2.160072505380443
1960,Ca4_Ba4_Mn7_Co1_O24,Ca4Ba4Mn7Co1O24.vasp,NOT,test,Ca4,8.0,Ca,4.0,Ba4,Ba,4.0,,0.013,-266.389867,-296.191867,-7.404796675,8.0,0.941291306,0.487105708,0.616773749,0.012688169,-0.788016887,-0.787530633,-3.772261063,-3.772226864,0.012831919,0.012847693,-0.965579313,-0.964981247,0.4870560789782636,0.616963242,0.9413183606898275,0.012954822
2915,Pr4_Ba4_Zr2_Co6_O24,Pr4Ba4Zr2Co6O24.vasp,NOT,test,Pr4,8.0,Pr,4.0,Ba4,Ba,4.0,,0.472,-282.456819,-308.772819,-7.719320475,14.0,0.799176256,0.234378943,0.371363626,0.4729710983188128,-0.393831937,-0.393779926,-0.729811165,-0.73024616,0.3197775629440398,0.3196254647725203,0.096352665,0.097211763,0.2343526385339143,0.3715255314403081,0.7991557695219583,0.4717273024127138
962,Sr6_Ti2_Zn2_Fe6_O24,Sr6Ti2Zn2Fe6O24.vasp,NOT,valid,Sr6,8.0,Sr,6.0,Ti2,Ti,2.0,,0.021,-257.370454,-287.394454,-7.18486135,24.0,0.951482786,0.529744716,0.690075048,0.02112739,-0.781146561,-0.781323009,-3.473768074,-3.473512677,0.020564853,0.02047241,-0.77410482,-0.774184727,0.5297415399170036,0.6898455819379872,0.9515188358418072,0.0212799175600218
4154,Y8_V4_Fe4_O24,Y8V4Fe4O24.vasp,NOT,train,Y8,8.0,Y,8.0,,,0.0,,1.122,-327.921175,-360.233175,-9.005829375,-10.0,0.250424405,0.560169159,0.560169159,1.1224022450801672,0.1643820454620627,0.164665424,0.1239859797809913,0.1233568298915129,0.5261241027081861,0.5260369789735055,0.4363872121899927,0.4364281892068794,0.5601421233682445,0.5595821455744084,0.2504531314714844,1.1219042648355877
2055,Ba4_Sr4_Nb2_V6_O24,Ba4Sr4Nb2V6O24.vasp,NOT,test,Ba4,8.0,Ba,4.0,Sr4,Sr,4.0,,0.828,-300.589468,-327.277468,-8.1819367,8.0,0.146040076,0.539446559,0.526365724,0.8272116479642542,-0.088102433,-0.089079374,-0.176737179,-0.176422292,0.4511017055678509,0.4511130782679725,0.2799674923921764,0.2790041623088489,0.5394058104560007,0.5261920358198457,0.1460774049809491,0.8277682765323062
164,Ba7_Ce1_Zr8_O24,Ba7Ce1Zr8O24.vasp,NOT,valid,Ba7,8.0,Ba,7.0,Ce1,Ce,1.0,,0.046,-336.742139,-353.230139,-8.830753475,-1.4702,0.050466864,0.165466864,0.266012963,0.046437727,-0.759676793,-0.759722612,-2.882403588,-2.882606327,0.043962231,0.043946666,-0.520673714,-0.519716599,0.165408605,0.2654245648471385,0.050449011,0.045930263
