epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.201079845428467,2.404437303543091,5.781318187713623
0,0,,,,2.320859432220459,2.401639223098755,5.7678704261779785,,,
1,1,,,,,,,2.1802079677581787,2.3811192512512207,5.669728755950928
1,1,,,,2.290971279144287,2.3723182678222656,5.627893924713135,,,
2,2,,,,,,,2.159416675567627,2.3580429553985596,5.560366630554199
2,2,,,,2.2637534141540527,2.3455636501312256,5.501668930053711,,,
3,3,,,,,,,2.1371004581451416,2.333463430404663,5.445051670074463
3,3,,,,2.2372920513153076,2.3194873332977295,5.380021572113037,,,
4,4,,,,,,,2.111743211746216,2.305713176727295,5.316313743591309
4,4,,,,2.2096927165985107,2.2921056747436523,5.253748416900635,,,
5,5,,,,,,,2.081786870956421,2.273118257522583,5.1670660972595215
5,5,,,,2.179607391357422,2.2614848613739014,5.11431360244751,,,
6,6,,,,,,,2.045459747314453,2.233816385269165,4.989935398101807
6,6,,,,2.144432306289673,2.2256624698638916,4.953573226928711,,,
7,7,,,,,,,2.000548839569092,2.1855063438415527,4.776438236236572
7,7,,,,2.101963758468628,2.182422399520874,4.762967586517334,,,
8,8,,,,,,,1.944077730178833,2.125120162963867,4.5161356925964355
8,8,,,,2.0494165420532227,2.128983497619629,4.532570838928223,,,
9,9,,,,,,,1.8718630075454712,2.048409938812256,4.195982933044434
9,9,,,,1.9829716682434082,2.0615735054016113,4.250085353851318,,,
10,10,,,,,,,1.7778160572052002,1.9493573904037476,3.7999942302703857
10,10,,,,1.8971673250198364,1.9748798608779907,3.900150775909424,,,
11,11,,,,,,,1.6528098583221436,1.8193752765655518,3.3101260662078857
11,11,,,,1.7840129137039185,1.861320972442627,3.464515447616577,,,
12,12,,,,,,,1.4828401803970337,1.646562933921814,2.711169719696045
12,12,,,,1.6315420866012573,1.7100417613983154,2.9242427349090576,,,
13,13,,,,,,,1.2460510730743408,1.4167146682739258,2.007080554962158
13,13,,,,1.4214848279953003,1.5060213804244995,2.2681002616882324,,,
14,14,,,,,,,0.9082328677177429,1.126157283782959,1.2682301998138428
14,14,,,,1.126673698425293,1.2320270538330078,1.5178905725479126,,,
15,15,0.7052868008613586,0.9111401438713074,0.8301763534545898,,,,,,
