epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,,,,1.7426846027374268,1.8449119329452515,3.4170703887939453
0,7,,,,2.0449790954589844,2.11950945854187,4.564260482788086,,,
1,15,,,,,,,0.6573551893234253,0.8139001727104187,0.7366452813148499
1,15,,,,1.079042911529541,1.2173177003860474,1.727349042892456,,,
2,23,,,,,,,0.6801466345787048,0.8461000323295593,0.7678931355476379
2,23,,,,0.6076782941818237,0.7891637682914734,0.7968695163726807,,,
3,31,,,,,,,0.5305193662643433,0.6699548959732056,0.5393757224082947
3,31,,,,0.5555181503295898,0.7507888078689575,0.6316619515419006,,,
4,39,,,,,,,0.5249242782592773,0.6539046764373779,0.5162345170974731
4,39,,,,0.5318895578384399,0.6836017370223999,0.5163552165031433,,,
5,47,,,,,,,0.5278041958808899,0.6538527011871338,0.5105729103088379
5,47,,,,0.4745555520057678,0.6054023504257202,0.41165125370025635,,,
6,55,,,,,,,0.48133984208106995,0.5910238027572632,0.45460987091064453
6,55,,,,0.4622686803340912,0.5699312090873718,0.36595579981803894,,,
7,63,,,,,,,0.48549118638038635,0.613547146320343,0.4693489074707031
7,63,,,,0.449738085269928,0.5474328994750977,0.3290049731731415,,,
8,71,,,,,,,0.4338073134422302,0.5595817565917969,0.4318876266479492
8,71,,,,0.3493703603744507,0.46251529455184937,0.24175448715686798,,,
9,79,,,,,,,0.47834014892578125,0.6134411096572876,0.46713560819625854
9,79,,,,0.37288227677345276,0.4780324101448059,0.24353156983852386,,,
10,87,,,,,,,0.4794764518737793,0.6094479560852051,0.45871400833129883
10,87,,,,0.3493516743183136,0.44956228137016296,0.22646990418434143,,,
11,95,,,,,,,0.4179617762565613,0.5378144383430481,0.39778226613998413
11,95,,,,0.3877135217189789,0.4639946520328522,0.23611752688884735,,,
12,103,,,,,,,0.4689749777317047,0.5979794263839722,0.4330781102180481
12,103,,,,0.33225223422050476,0.4192180335521698,0.20439042150974274,,,
13,111,,,,,,,0.3841741979122162,0.5125778317451477,0.3530143201351166
13,111,,,,0.33424070477485657,0.3971759080886841,0.18426640331745148,,,
14,119,,,,,,,0.4214956760406494,0.549149215221405,0.36652082204818726
14,119,,,,0.3130260109901428,0.3983301520347595,0.1765109896659851,,,
15,127,,,,,,,0.3287557065486908,0.44742250442504883,0.292717844247818
15,127,,,,0.3021555542945862,0.3858588635921478,0.16241726279258728,,,
16,135,,,,,,,0.32945314049720764,0.44492441415786743,0.27897244691848755
16,135,,,,0.320909321308136,0.40108102560043335,0.17837479710578918,,,
17,143,,,,,,,0.450223833322525,0.5608516335487366,0.3549290895462036
17,143,,,,0.27839329838752747,0.36333513259887695,0.15525950491428375,,,
18,151,,,,,,,0.348006010055542,0.4564207196235657,0.2812563478946686
18,151,,,,0.3147162199020386,0.3709401786327362,0.15876467525959015,,,
19,159,,,,,,,0.3865256905555725,0.5093775987625122,0.2977667450904846
19,159,,,,0.33593085408210754,0.41268572211265564,0.18568873405456543,,,
20,160,0.3839293420314789,0.4458940029144287,0.20529267191886902,,,,,,
