epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,0.3042178750038147,0.40954264998435974,0.23344215750694275
0,7,0.244625985622406,0.32684510946273804,0.12777863442897797,,,
1,15,,,,0.301152765750885,0.4213154911994934,0.23863939940929413
1,15,0.2185237556695938,0.28712236881256104,0.11041226238012314,,,
2,23,,,,0.307670533657074,0.4351998269557953,0.24536219239234924
2,23,0.22057221829891205,0.30547401309013367,0.10915818065404892,,,
3,31,,,,0.30574846267700195,0.43300408124923706,0.24382655322551727
3,31,0.22237907350063324,0.30559924244880676,0.10749972611665726,,,
4,39,,,,0.302611768245697,0.42660778760910034,0.24007710814476013
4,39,0.21975289285182953,0.2963559925556183,0.10684887319803238,,,
5,47,,,,0.30154675245285034,0.4243825078010559,0.23880012333393097
5,47,0.21777182817459106,0.2909614145755768,0.10600841045379639,,,
6,55,,,,0.3011048436164856,0.42350465059280396,0.23827239871025085
6,55,0.21744892001152039,0.2865893542766571,0.10585547983646393,,,
7,63,,,,0.30029425024986267,0.42184486985206604,0.23737168312072754
7,63,0.216984361410141,0.2968757450580597,0.10584144294261932,,,
8,71,,,,0.30013275146484375,0.42134252190589905,0.23710846900939941
8,71,0.21669867634773254,0.2873688340187073,0.10573432594537735,,,
9,79,,,,0.3001094460487366,0.42133504152297974,0.23708662390708923
9,79,0.2165626883506775,0.3053169250488281,0.1056690365076065,,,
