epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.2355148792266846,2.450922966003418,6.007023334503174
0,0,,,,2.346501588821411,2.428046464920044,5.895409107208252,,,
1,1,,,,,,,2.2350823879241943,2.450451135635376,6.0047101974487305
1,1,,,,2.3459091186523438,2.4274744987487793,5.892632961273193,,,
2,2,,,,,,,2.2346489429473877,2.4499781131744385,6.0023932456970215
2,2,,,,2.345315933227539,2.4269020557403564,5.889853477478027,,,
3,3,,,,,,,2.2342147827148438,2.4495043754577637,6.000072002410889
3,3,,,,2.3447213172912598,2.42632794380188,5.887067794799805,,,
4,4,,,,,,,2.2337794303894043,2.4490296840667725,5.997746467590332
4,4,,,,2.344125270843506,2.425753116607666,5.884278297424316,,,
5,5,2.213639974594116,2.3460512161254883,5.5039567947387695,,,,,,
