epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.1659762859344482,2.353515386581421,5.539034843444824
0,0,,,,2.2255828380584717,2.3099918365478516,5.336061954498291,,,
1,1,,,,,,,2.1655771732330322,2.3530874252319336,5.537020683288574
1,1,,,,2.2250733375549316,2.3094968795776367,5.333775997161865,,,
2,2,,,,,,,2.1651768684387207,2.352658987045288,5.535004138946533
2,2,,,,2.224562644958496,2.3090016841888428,5.331488609313965,,,
3,3,,,,,,,2.164776563644409,2.3522298336029053,5.532985210418701
3,3,,,,2.2240521907806396,2.3085060119628906,5.32919979095459,,,
4,4,,,,,,,2.1643757820129395,2.3518004417419434,5.530965805053711
4,4,,,,2.223540782928467,2.308009386062622,5.326907157897949,,,
5,5,2.096467971801758,2.2236218452453613,4.944494247436523,,,,,,
