epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.2012181282043457,2.391288995742798,5.718262672424316
0,0,,,,2.2745447158813477,2.357666254043579,5.558589935302734,,,
1,1,,,,,,,2.1973774433135986,2.387174606323242,5.698602676391602
1,1,,,,2.269714117050171,2.352952718734741,5.536386013031006,,,
2,2,,,,,,,2.193542718887329,2.3830652236938477,5.678999900817871
2,2,,,,2.2648873329162598,2.348245143890381,5.514255046844482,,,
3,3,,,,,,,2.1897079944610596,2.3789546489715576,5.659425735473633
3,3,,,,2.2600579261779785,2.343536376953125,5.492163181304932,,,
4,4,,,,,,,2.1858677864074707,2.3748366832733154,5.639849662780762
4,4,,,,2.2552173137664795,2.3388192653656006,5.4700751304626465,,,
5,5,,,,,,,2.1820147037506104,2.3707056045532227,5.62024450302124
5,5,,,,2.2503583431243896,2.3340868949890137,5.447961807250977,,,
6,6,,,,,,,2.178144693374634,2.36655592918396,5.600586891174316
6,6,,,,2.2454755306243896,2.3293333053588867,5.4257941246032715,,,
7,7,,,,,,,2.1742513179779053,2.362382650375366,5.5808515548706055
7,7,,,,2.2405624389648438,2.3245530128479004,5.4035468101501465,,,
8,8,,,,,,,2.170330286026001,2.358180284500122,5.561014175415039
8,8,,,,2.2356135845184326,2.319739818572998,5.381192684173584,,,
9,9,,,,,,,2.1663753986358643,2.353943347930908,5.541049003601074
9,9,,,,2.2306225299835205,2.3148882389068604,5.358707427978516,,,
10,10,2.0989532470703125,2.2260427474975586,4.955265998840332,,,,,,
