No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
4629,La8_Co4_Zr4_O24,La8Co4Zr4O24.vasp,NOT,train,La8,8.0,La,8.0,,,0.0,,2.151,-330.870521,-353.910521,-8.847763025,8.0,0.245725847,0.163804192,0.191299786,2.150558007652984,1.048077718819583,1.0487213948927034,0.7705710775247487,0.7712526483573652,0.6778550418865619,0.6779047664316715,0.9784014245056718,0.9786000059341584,0.1637779715098494,0.1910128224296489,0.2456956226504293,2.150997857001709
3296,Ba8_Cu8_O24,Ba8Cu8O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,0.062,-214.056189,-230.544189,-5.763604725,0.0,2.065240364,0.682855617,1.06623542,0.062892573,-0.745936141,-0.745622224,-2.63108916,-2.630339023,0.058354161,0.058261084,-0.430532377,-0.430258574,0.68287458,1.065490856,2.065205741,0.06203007
1587,Mg2_Ba6_Ta4_Zr4_O24,Mg2Ba6Ta4Zr4O24.vasp,NOT,train,Mg2,8.0,Mg,2.0,Ba6,Ba,6.0,,0.017,-332.38904,-348.87704,-8.721926,0.7994,0.521623135,0.751623135,0.751623135,0.016998527,-0.784581724,-0.785035908,-3.611918413,-3.612358449,0.016713709,0.016797893,-0.845120073,-0.84545402,0.7516444338281539,0.7519830303419242,0.5216354471435709,0.0168259470934298
479,Sr2_Pr6_Ga8_O24,Sr2Pr6Ga8O24.vasp,NOT,train,Sr2,8.0,Sr,2.0,Pr6,Pr,6.0,,0.003,-271.501719,-287.989719,-7.199742975,-1.7355,0.473549447,0.358549447,0.383729983,0.003059454,-0.796604795,-0.796344148,-4.342805922,-4.342284253,0.002990959,0.002958332,-1.560475007,-1.559613776,0.3585010398960737,0.3828308491162725,0.4734803729486603,0.003028879
2785,Ba4_Sr4_Mn2_Ce6_O24,Ba4Sr4Mn2Ce6O24.vasp,NOT,train,Ba4,8.0,Ba,4.0,Sr4,Sr,4.0,,2.054,-297.196007,-317.020007,-7.925500175,-6.0,0.302617634,0.220261843,0.519367691,2.054423446489648,0.9647750168607104,0.9638311767770366,0.7246458476193162,0.7243537070056356,0.6679461046551228,0.6678899787562311,0.9085310746584756,0.9087665837966754,0.2203508895619043,0.519145027,0.3026397848881736,2.05410035220694
839,Sr6_Ca2_Nb6_Sn2_O24,Sr6Ca2Nb6Sn2O24.vasp,NOT,train,Sr6,8.0,Sr,6.0,Ca2,Ca,2.0,,0.011,-304.211767,-320.699767,-8.017494175,5.1546,0.461175149,0.806175149,0.808830961,0.011613629,-0.789734469,-0.790383882,-3.863232841,-3.863013471,0.010879419,0.010937201,-1.035931945,-1.034990051,0.8062032678335238,0.8086451262777499,0.4611706163151299,0.0111031083818372
1511,Zr2_Ba6_Mn6_Ce2_O24,Zr2Ba6Mn6Ce2O24.vasp,NOT,train,Zr2,8.0,Zr,2.0,Ba6,Ba,6.0,,0.108,-298.871773,-325.367773,-8.134194325,22.0,0.565741198,0.460189295,0.540297092,0.1075414383249842,-0.706431767,-0.706588636,-2.137070655,-2.137694496,0.097398741,0.097399979,-0.282185334,-0.281843989,0.4601992627389372,0.5400917404298851,0.565734434,0.1079068784265947
297,Sr7_La1_Zr7_Nb1_O24,Sr7La1Zr7Nb1O24.vasp,NOT,train,Sr7,8.0,Sr,7.0,La1,La,1.0,,0.009,-334.324375,-350.812375,-8.770309375,1.996,0.06900996,0.18400996,0.270754271,0.009318338,-0.79145205,-0.791203749,-3.9633163,-3.963198756,0.00891912,0.008756339,-1.101990825,-1.103375986,0.1840124158120516,0.2706933686100735,0.06899044,0.008887284
159,Ba7_Bi1_Zr8_O24,Ba7Bi1Zr8O24.vasp,NOT,train,Ba7,8.0,Ba,7.0,Bi1,Bi,1.0,,0.842,-329.856247,-346.344247,-8.658606175,1.0,0.0,0.02614095,0.126687049,0.8425855905367241,-0.076079362,-0.075448073,-0.160168752,-0.159619256,0.4552215365819099,0.4552335319261907,0.2888472427834052,0.2886313024918021,0.026187958,0.1269783817406537,3.570649983517827e-05,0.8418177101876904
4704,Ba8_Zr8_O24_H2,Ba8Zr8O24H2.vasp,,,,,,,,,,,,-339.0131717,-355.5011717,-8.464313612,,,,,,,,,,,,,,,,,
